geoid,total_pop,median_income,state,county,tract,name,b01003_001_moe,b19013_001_moe
06037101110,4014,68972,06,037,101110,"Los Angeles County, California",473.0,17023.0
06037101122,4164,118859,06,037,101122,"Los Angeles County, California",822.0,31445.0
06037101220,3481,65139,06,037,101220,"Los Angeles County, California",467.0,12289.0
06037101221,3756,53348,06,037,101221,"Los Angeles County, California",687.0,13611.0
06037101222,2808,36779,06,037,101222,"Los Angeles County, California",424.0,22089.0
06037101300,4071,121490,06,037,101300,"Los Angeles County, California",445.0,21762.0
06037101400,3490,85945,06,037,101400,"Los Angeles County, California",506.0,36189.0
06037102103,1834,65250,06,037,102103,"Los Angeles County, California",502.0,24560.0
06037102104,4033,106250,06,037,102104,"Los Angeles County, California",497.0,16141.0
06037102105,1610,92917,06,037,102105,"Los Angeles County, California",310.0,10457.0
06037102107,3577,97778,06,037,102107,"Los Angeles County, California",685.0,34205.0
06037103101,2726,125694,06,037,103101,"Los Angeles County, California",387.0,27793.0
06037103102,4550,84750,06,037,103102,"Los Angeles County, California",546.0,15144.0
06037103201,4291,84281,06,037,103201,"Los Angeles County, California",438.0,26923.0
06037103202,2010,112491,06,037,103202,"Los Angeles County, California",623.0,3997.0
06037103300,3816,133333,06,037,103300,"Los Angeles County, California",540.0,29211.0
06037103401,2391,96884,06,037,103401,"Los Angeles County, California",446.0,30471.0
06037103402,3829,113393,06,037,103402,"Los Angeles County, California",503.0,31876.0
06037104103,4281,107614,06,037,104103,"Los Angeles County, California",895.0,28047.0
06037104105,6195,58897,06,037,104105,"Los Angeles County, California",739.0,11098.0
06037104108,4962,62639,06,037,104108,"Los Angeles County, California",540.0,18507.0
06037104124,4006,76071,06,037,104124,"Los Angeles County, California",520.0,23295.0
06037104201,4636,93726,06,037,104201,"Los Angeles County, California",775.0,11145.0
06037104203,5182,65000,06,037,104203,"Los Angeles County, California",889.0,8210.0
06037104204,3691,75179,06,037,104204,"Los Angeles County, California",537.0,29522.0
06037104310,4392,87463,06,037,104310,"Los Angeles County, California",728.0,28929.0
06037104321,2890,36649,06,037,104321,"Los Angeles County, California",601.0,31791.0
06037104322,1787,72188,06,037,104322,"Los Angeles County, California",186.0,51848.0
06037104401,2977,69306,06,037,104401,"Los Angeles County, California",401.0,13243.0
06037104403,2352,89653,06,037,104403,"Los Angeles County, California",364.0,23388.0
06037104404,3323,80556,06,037,104404,"Los Angeles County, California",594.0,19402.0
06037104500,3301,71058,06,037,104500,"Los Angeles County, California",801.0,11897.0
06037104610,3122,84107,06,037,104610,"Los Angeles County, California",523.0,8742.0
06037104620,3528,81316,06,037,104620,"Los Angeles County, California",513.0,6911.0
06037104701,3891,49844,06,037,104701,"Los Angeles County, California",379.0,8425.0
06037104703,2298,48229,06,037,104703,"Los Angeles County, California",547.0,18835.0
06037104704,4567,56512,06,037,104704,"Los Angeles County, California",712.0,13025.0
06037104821,3431,69423,06,037,104821,"Los Angeles County, California",480.0,16888.0
06037104822,2461,48278,06,037,104822,"Los Angeles County, California",390.0,13894.0
06037104823,3362,81406,06,037,104823,"Los Angeles County, California",737.0,33565.0
06037104824,2657,88088,06,037,104824,"Los Angeles County, California",1174.0,32890.0
06037106010,3578,125556,06,037,106010,"Los Angeles County, California",694.0,20847.0
06037106020,4576,115282,06,037,106020,"Los Angeles County, California",912.0,25041.0
06037106111,4859,124375,06,037,106111,"Los Angeles County, California",785.0,28253.0
06037106112,5125,109333,06,037,106112,"Los Angeles County, California",595.0,19054.0
06037106113,3871,111861,06,037,106113,"Los Angeles County, California",495.0,16804.0
06037106114,6800,75179,06,037,106114,"Los Angeles County, California",989.0,17580.0
06037106403,3701,91364,06,037,106403,"Los Angeles County, California",461.0,15156.0
06037106405,4340,86159,06,037,106405,"Los Angeles County, California",755.0,11212.0
06037106406,6534,99298,06,037,106406,"Los Angeles County, California",916.0,4401.0
06037106407,2352,34360,06,037,106407,"Los Angeles County, California",300.0,18087.0
06037106408,3733,54259,06,037,106408,"Los Angeles County, California",566.0,10964.0
06037106510,5717,113750,06,037,106510,"Los Angeles County, California",884.0,29940.0
06037106520,5545,90292,06,037,106520,"Los Angeles County, California",705.0,26871.0
06037106603,3544,135368,06,037,106603,"Los Angeles County, California",667.0,46714.0
06037106604,4010,63976,06,037,106604,"Los Angeles County, California",549.0,5743.0
06037106641,2197,114444,06,037,106641,"Los Angeles County, California",231.0,40853.0
06037106642,3442,137426,06,037,106642,"Los Angeles County, California",671.0,26462.0
06037106643,4306,197411,06,037,106643,"Los Angeles County, California",881.0,27416.0
06037106645,3769,128382,06,037,106645,"Los Angeles County, California",647.0,42027.0
06037106646,3011,120865,06,037,106646,"Los Angeles County, California",334.0,14071.0
06037106648,4581,68583,06,037,106648,"Los Angeles County, California",593.0,32298.0
06037106649,2776,101528,06,037,106649,"Los Angeles County, California",637.0,22422.0
06037107010,3177,82109,06,037,107010,"Los Angeles County, California",423.0,10317.0
06037107020,4610,81625,06,037,107020,"Los Angeles County, California",1225.0,19935.0
06037108101,2274,150000,06,037,108101,"Los Angeles County, California",306.0,24383.0
06037108102,3596,125540,06,037,108102,"Los Angeles County, California",459.0,25562.0
06037108103,2968,149118,06,037,108103,"Los Angeles County, California",448.0,15434.0
06037108104,1738,150550,06,037,108104,"Los Angeles County, California",420.0,50560.0
06037108202,9302,164905,06,037,108202,"Los Angeles County, California",1439.0,32263.0
06037108203,3170,134917,06,037,108203,"Los Angeles County, California",356.0,17494.0
06037108204,1780,169178,06,037,108204,"Los Angeles County, California",319.0,39550.0
06037109100,2675,81500,06,037,109100,"Los Angeles County, California",271.0,35749.0
06037109200,3161,119917,06,037,109200,"Los Angeles County, California",586.0,19696.0
06037109300,2864,112738,06,037,109300,"Los Angeles County, California",356.0,10614.0
06037109400,4175,93571,06,037,109400,"Los Angeles County, California",632.0,43740.0
06037109500,3699,62500,06,037,109500,"Los Angeles County, California",693.0,13193.0
06037109601,4831,114853,06,037,109601,"Los Angeles County, California",643.0,10115.0
06037109603,3900,76545,06,037,109603,"Los Angeles County, California",964.0,9196.0
06037109604,2900,101822,06,037,109604,"Los Angeles County, California",291.0,5034.0
06037109700,4333,110500,06,037,109700,"Los Angeles County, California",525.0,18439.0
06037109800,4584,74803,06,037,109800,"Los Angeles County, California",560.0,34595.0
06037111100,3076,117813,06,037,111100,"Los Angeles County, California",355.0,16541.0
06037111201,3256,111439,06,037,111201,"Los Angeles County, California",696.0,15786.0
06037111202,5670,110686,06,037,111202,"Los Angeles County, California",1186.0,29731.0
06037111204,5600,172376,06,037,111204,"Los Angeles County, California",582.0,13137.0
06037111205,3879,103125,06,037,111205,"Los Angeles County, California",824.0,20866.0
06037111206,4363,154563,06,037,111206,"Los Angeles County, California",426.0,25932.0
06037111302,4880,88458,06,037,111302,"Los Angeles County, California",647.0,24235.0
06037111303,4712,89688,06,037,111303,"Los Angeles County, California",569.0,34030.0
06037111304,3106,49583,06,037,111304,"Los Angeles County, California",639.0,15820.0
06037111401,2293,130729,06,037,111401,"Los Angeles County, California",388.0,43624.0
06037111402,6146,56257,06,037,111402,"Los Angeles County, California",973.0,8690.0
06037113101,3525,121458,06,037,113101,"Los Angeles County, California",459.0,19524.0
06037113102,2784,179688,06,037,113102,"Los Angeles County, California",340.0,51573.0
06037113211,4248,109798,06,037,113211,"Los Angeles County, California",564.0,18339.0
06037113212,2888,91987,06,037,113212,"Los Angeles County, California",421.0,23727.0
06037113213,5087,118405,06,037,113213,"Los Angeles County, California",678.0,15707.0
06037113231,2161,122094,06,037,113231,"Los Angeles County, California",235.0,15667.0
06037113232,4596,143471,06,037,113232,"Los Angeles County, California",621.0,24738.0
06037113234,5653,71268,06,037,113234,"Los Angeles County, California",1247.0,17308.0
06037113235,1727,94010,06,037,113235,"Los Angeles County, California",351.0,32947.0
06037113237,4725,150278,06,037,113237,"Los Angeles County, California",814.0,59050.0
06037113238,4547,63333,06,037,113238,"Los Angeles County, California",657.0,16667.0
06037113239,2343,47297,06,037,113239,"Los Angeles County, California",371.0,11899.0
06037113301,4830,122692,06,037,113301,"Los Angeles County, California",665.0,49724.0
06037113303,3774,108924,06,037,113303,"Los Angeles County, California",333.0,7797.0
06037113322,4584,118286,06,037,113322,"Los Angeles County, California",827.0,11695.0
06037113323,3619,86838,06,037,113323,"Los Angeles County, California",550.0,32129.0
06037113324,2771,98214,06,037,113324,"Los Angeles County, California",1569.0,16445.0
06037113423,3077,77078,06,037,113423,"Los Angeles County, California",659.0,39734.0
06037113424,3346,106726,06,037,113424,"Los Angeles County, California",622.0,23110.0
06037113425,4499,67031,06,037,113425,"Los Angeles County, California",671.0,11434.0
06037113426,2322,63750,06,037,113426,"Los Angeles County, California",350.0,18665.0
06037113427,2360,62071,06,037,113427,"Los Angeles County, California",260.0,10811.0
06037113428,4222,117545,06,037,113428,"Los Angeles County, California",1487.0,28926.0
06037115101,4678,150280,06,037,115101,"Los Angeles County, California",472.0,49510.0
06037115103,2725,,06,037,115103,"Los Angeles County, California",67.0,
06037115104,4327,60682,06,037,115104,"Los Angeles County, California",604.0,15835.0
06037115202,6010,66528,06,037,115202,"Los Angeles County, California",1081.0,18885.0
06037115203,2236,90300,06,037,115203,"Los Angeles County, California",457.0,33803.0
06037115204,3806,111528,06,037,115204,"Los Angeles County, California",600.0,28425.0
06037115301,4511,103894,06,037,115301,"Los Angeles County, California",803.0,24266.0
06037115302,3912,76250,06,037,115302,"Los Angeles County, California",491.0,17601.0
06037115401,5847,58909,06,037,115401,"Los Angeles County, California",763.0,10639.0
06037115403,3477,82875,06,037,115403,"Los Angeles County, California",868.0,24341.0
06037115404,2830,92250,06,037,115404,"Los Angeles County, California",368.0,23026.0
06037117101,5252,102639,06,037,117101,"Los Angeles County, California",725.0,18829.0
06037117102,2504,90833,06,037,117102,"Los Angeles County, California",328.0,25116.0
06037117201,4250,51395,06,037,117201,"Los Angeles County, California",633.0,11037.0
06037117202,2853,107313,06,037,117202,"Los Angeles County, California",406.0,33901.0
06037117301,3632,129266,06,037,117301,"Los Angeles County, California",316.0,14727.0
06037117302,4957,119311,06,037,117302,"Los Angeles County, California",582.0,20908.0
06037117303,4428,122096,06,037,117303,"Los Angeles County, California",1039.0,18070.0
06037117404,5548,127821,06,037,117404,"Los Angeles County, California",1084.0,14458.0
06037117405,3176,41480,06,037,117405,"Los Angeles County, California",569.0,10010.0
06037117407,3566,48341,06,037,117407,"Los Angeles County, California",448.0,6085.0
06037117408,2404,50714,06,037,117408,"Los Angeles County, California",291.0,7085.0
06037117510,3807,61875,06,037,117510,"Los Angeles County, California",607.0,13825.0
06037117520,4571,53558,06,037,117520,"Los Angeles County, California",585.0,7982.0
