geoid,geoid20,year,denom_occupied_housing,no_vehicle_count,no_vehicle_pct
1400000US06037101110,6037101110,2023,1558,170,10.911425
1400000US06037101122,6037101122,2023,1407,0,0
1400000US06037101220,6037101220,2023,1357,56,4.12675
1400000US06037101221,6037101221,2023,1483,265,17.869184
1400000US06037101222,6037101222,2023,948,172,18.143459
1400000US06037101300,6037101300,2023,1513,68,4.4943819
1400000US06037101400,6037101400,2023,1336,170,12.724551
1400000US06037102103,6037102103,2023,714,74,10.364145
1400000US06037102104,6037102104,2023,1299,42,3.2332563
1400000US06037102105,6037102105,2023,518,4,.77220076
1400000US06037102107,6037102107,2023,1184,59,4.983108
1400000US06037103101,6037103101,2023,982,15,1.5274949
1400000US06037103102,6037103102,2023,1646,186,11.300121
1400000US06037103201,6037103201,2023,1581,250,15.812777
1400000US06037103202,6037103202,2023,649,0,0
1400000US06037103300,6037103300,2023,1296,72,5.5555553
1400000US06037103401,6037103401,2023,972,10,1.0288066
1400000US06037103402,6037103402,2023,1378,77,5.5878086
1400000US06037104103,6037104103,2023,868,0,0
1400000US06037104105,6037104105,2023,1580,118,7.4683542
1400000US06037104108,6037104108,2023,1291,110,8.5205269
1400000US06037104124,6037104124,2023,1325,10,.75471699
1400000US06037104201,6037104201,2023,863,24,2.7809966
1400000US06037104203,6037104203,2023,1074,32,2.9795158
1400000US06037104204,6037104204,2023,718,7,.97493035
1400000US06037104310,6037104310,2023,885,35,3.9548023
1400000US06037104321,6037104321,2023,773,215,27.813713
1400000US06037104322,6037104322,2023,445,20,4.4943819
1400000US06037104401,6037104401,2023,623,68,10.914927
1400000US06037104403,6037104403,2023,510,34,6.6666665
1400000US06037104404,6037104404,2023,746,67,8.9812336
1400000US06037104500,6037104500,2023,621,31,4.9919486
1400000US06037104610,6037104610,2023,652,85,13.03681
1400000US06037104620,6037104620,2023,703,27,3.8406827
1400000US06037104701,6037104701,2023,953,93,9.7586565
1400000US06037104703,6037104703,2023,607,48,7.907743
1400000US06037104704,6037104704,2023,1231,64,5.1990252
1400000US06037104821,6037104821,2023,751,88,11.71771
1400000US06037104822,6037104822,2023,637,142,22.291994
1400000US06037104823,6037104823,2023,692,41,5.9248557
1400000US06037104824,6037104824,2023,486,0,0
1400000US06037106010,6037106010,2023,938,55,5.8635392
1400000US06037106020,6037106020,2023,1298,18,1.3867488
1400000US06037106111,6037106111,2023,1390,84,6.0431657
1400000US06037106112,6037106112,2023,1430,58,4.055944
1400000US06037106113,6037106113,2023,1038,8,.77071291
1400000US06037106114,6037106114,2023,1830,44,2.4043715
1400000US06037106403,6037106403,2023,854,19,2.2248244
1400000US06037106405,6037106405,2023,1147,51,4.446382
1400000US06037106406,6037106406,2023,1880,74,3.9361701
1400000US06037106407,6037106407,2023,828,188,22.705315
1400000US06037106408,6037106408,2023,986,48,4.868154
1400000US06037106510,6037106510,2023,1601,20,1.2492192
1400000US06037106520,6037106520,2023,1402,124,8.8445082
1400000US06037106603,6037106603,2023,1216,65,5.3453946
1400000US06037106604,6037106604,2023,1281,93,7.259953
1400000US06037106641,6037106641,2023,732,37,5.0546446
1400000US06037106642,6037106642,2023,1189,70,5.8873
1400000US06037106643,6037106643,2023,1387,54,3.8932948
1400000US06037106645,6037106645,2023,1252,93,7.4281149
1400000US06037106646,6037106646,2023,999,43,4.3043041
1400000US06037106648,6037106648,2023,1179,51,4.3256998
1400000US06037106649,6037106649,2023,642,23,3.5825546
1400000US06037107010,6037107010,2023,757,34,4.4914136
1400000US06037107020,6037107020,2023,1212,74,6.1056104
1400000US06037108101,6037108101,2023,757,32,4.2272129
1400000US06037108102,6037108102,2023,1226,19,1.5497553
1400000US06037108103,6037108103,2023,1001,8,.79920077
1400000US06037108104,6037108104,2023,562,3,.53380781
1400000US06037108202,6037108202,2023,3551,69,1.9431146
1400000US06037108203,6037108203,2023,1175,23,1.9574468
1400000US06037108204,6037108204,2023,658,83,12.613982
1400000US06037109100,6037109100,2023,887,121,13.641488
1400000US06037109200,6037109200,2023,1077,100,9.2850513
1400000US06037109300,6037109300,2023,929,38,4.0904198
1400000US06037109400,6037109400,2023,1131,26,2.2988505
1400000US06037109500,6037109500,2023,982,54,5.4989815
1400000US06037109601,6037109601,2023,1330,10,.75187969
1400000US06037109603,6037109603,2023,1268,41,3.2334385
1400000US06037109604,6037109604,2023,873,44,5.0400915
1400000US06037109700,6037109700,2023,1383,57,4.1214752
1400000US06037109800,6037109800,2023,1490,84,5.6375837
1400000US06037111100,6037111100,2023,936,19,2.0299146
1400000US06037111201,6037111201,2023,1030,12,1.1650486
1400000US06037111202,6037111202,2023,1931,128,6.6286898
1400000US06037111204,6037111204,2023,1825,43,2.3561645
1400000US06037111205,6037111205,2023,1344,21,1.5625
1400000US06037111206,6037111206,2023,1364,17,1.2463343
1400000US06037111302,6037111302,2023,1757,176,10.017075
1400000US06037111303,6037111303,2023,1449,0,0
1400000US06037111304,6037111304,2023,1344,12,.89285713
1400000US06037111401,6037111401,2023,686,32,4.6647229
1400000US06037111402,6037111402,2023,2158,449,20.806303
1400000US06037113101,6037113101,2023,1198,87,7.2621036
1400000US06037113102,6037113102,2023,1036,17,1.6409266
1400000US06037113211,6037113211,2023,1624,49,3.0172415
1400000US06037113212,6037113212,2023,972,25,2.5720165
1400000US06037113213,6037113213,2023,1725,40,2.3188405
1400000US06037113231,6037113231,2023,850,15,1.7647059
1400000US06037113232,6037113232,2023,1539,0,0
1400000US06037113234,6037113234,2023,1665,104,6.2462463
1400000US06037113235,6037113235,2023,677,6,.88626295
1400000US06037113237,6037113237,2023,1551,80,5.1579628
1400000US06037113238,6037113238,2023,1445,101,6.9896193
1400000US06037113239,6037113239,2023,857,173,20.186697
1400000US06037113301,6037113301,2023,1637,200,12.217471
1400000US06037113303,6037113303,2023,1355,57,4.2066422
1400000US06037113322,6037113322,2023,1540,98,6.3636365
1400000US06037113323,6037113323,2023,1487,74,4.9764628
1400000US06037113324,6037113324,2023,995,59,5.9296484
1400000US06037113423,6037113423,2023,868,16,1.843318
1400000US06037113424,6037113424,2023,1087,103,9.4756212
1400000US06037113425,6037113425,2023,1346,94,6.9836555
1400000US06037113426,6037113426,2023,735,29,3.9455783
1400000US06037113427,6037113427,2023,936,75,8.0128202
1400000US06037113428,6037113428,2023,1101,26,2.3614895
1400000US06037115101,6037115101,2023,1866,178,9.5391207
1400000US06037115103,6037115103,2023,14,0,0
1400000US06037115104,6037115104,2023,1984,242,12.19758
1400000US06037115202,6037115202,2023,2077,118,5.6812711
1400000US06037115203,6037115203,2023,1010,174,17.227722
1400000US06037115204,6037115204,2023,1669,89,5.3325343
1400000US06037115301,6037115301,2023,1647,76,4.6144505
1400000US06037115302,6037115302,2023,1052,55,5.228137
