OBJECTID,COUNTYFP20,TRACTCE20,GEOID20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Pop23,HH23,LandSqMile,PopDensity,Flag_MHI_P,Source,Comments,Date_Record_Last_Edited,Record_Last_Edited_By,Date_Data_Refers_To,MHI23,ShapeSTArea,ShapeSTLength
1,29,4402,6029004402,1865739,0,35.5917343,-119.3337642,4667,1316,0.7204,6478,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,29515,2827597.933,7986.81549
2,47,802,6047000802,2321653,0,37.3433591,-120.5854604,4597,1532,0.8964,5128,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,77143,3679780.28,8114.347271
3,85,501402,6085501402,522620,0,37.3453341,-121.8665169,2716,839,0.2018,13459,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,93092,828389.3775,4298.788121
4,47,1003,6047001003,1940304,0,37.3206471,-120.495454,4803,1629,0.7492,6411,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,53675,3073508.738,8233.175365
5,19,4303,6019004303,3799395,33517,36.8193465,-119.8284236,4742,1916,1.467,3232,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,128729,5991814.982,9848.755421
6,5,102,6005000102,456204155,7940832,38.5496993,-120.2509786,2338,960,176.1414,13,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,69500,759858109.2,194792.1565
7,5,303,6005000303,136249615,765095,38.3544256,-120.9292323,6350,2848,52.6063,121,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,72669,223155699.5,83766.50089
8,5,101,6005000101,63019987,0,38.4649426,-120.5707494,4327,1950,24.3322,178,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86451,102951262.5,52697.98843
9,5,304,6005000304,141704648,15460893,38.2787591,-120.9241264,5007,1877,54.7125,92,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,103638,255479759.9,85269.44929
10,47,1401,6047001401,1766896,0,37.2986938,-120.4642099,3633,1433,0.6822,5325,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,39042,2797197.66,9161.750849
11,47,1402,6047001402,4931862,0,37.3030351,-120.4432482,4374,1613,1.9042,2297,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,55037,7808622.611,13754.92712
12,47,1501,6047001501,6543182,0,37.2921188,-120.5149483,2607,696,2.5263,1032,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,67321,10356834.52,14796.45586
13,47,1601,6047001601,2115088,0,37.2916308,-120.4768027,5112,1223,0.8166,6260,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,43281,3347814.765,9341.925915
14,29,4901,6029004901,1459379,0,35.7837173,-119.2462266,6074,1602,0.5635,10779,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,47167,2222325.362,6319.944568
15,19,5405,6019005405,1931345,0,36.8266434,-119.7677399,5400,1886,0.7457,7242,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,103006,3020045.458,8042.032042
16,19,5504,6019005504,2520551,0,36.8885345,-119.7386292,3018,1084,0.9732,3101,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,126250,3947725.157,7953.032586
17,37,262601,6037262601,3620351,0,34.0738344,-118.5557893,3418,1273,1.3978,2445,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,250001,5289912.522,13057.95144
18,73,10015,6073010015,40475325,0,32.5601548,-116.9530008,4646,1179,15.6276,297,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,129107,57140634.82,51064.3881
19,73,20810,6073020810,39012365,0,33.0348018,-116.7876255,5030,1678,15.0628,334,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,134781,55660850.52,52960.97091
20,73,21900,6073021900,5953517,3548500,32.6650174,-117.1159847,3089,756,2.2987,1344,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,42976,13444988.53,17436.01832
21,73,20026,6073020026,3803528,21736,33.1292602,-117.1882353,4234,1704,1.4686,2883,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,122750,5469220.553,16379.93883
22,73,20028,6073020028,456993,0,33.1418052,-117.1700975,3681,1021,0.1764,20867,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,58147,653588.8106,3526.785549
23,73,13421,6073013421,2476407,0,32.6453675,-117.0210109,4133,1298,0.9561,4323,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,145000,3502633.455,12157.77555
24,73,20811,6073020811,47998881,0,33.0026703,-116.7739397,5934,2010,18.5325,320,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,134261,68433087.18,47718.52102
25,73,21206,6073021206,42260777,588481,32.8633022,-116.7519653,3358,1154,16.317,206,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,135000,60896411.29,41779.07647
26,73,17051,6073017051,2484502,0,33.0037084,-117.0665065,4813,2157,0.9593,5017,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,129468,3542284.28,11439.49028
27,73,17109,6073017109,4415562,0,33.077936,-117.233336,6400,2104,1.7049,3754,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,237402,6305425.23,16036.3638
28,19,5507,6019005507,2583289,0,36.8592568,-119.7567596,5769,2345,0.9974,5784,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,121625,4042916.359,8094.869186
29,29,5402,6029005402,5239363,315,35.6298168,-117.6877306,5055,2118,2.0229,2499,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,93802,7948437.778,11933.67318
30,47,1004,6047001004,2055829,0,37.3183669,-120.477943,4002,1639,0.7938,5042,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,57740,3256306.451,7826.754415
31,47,1005,6047001005,2831600,0,37.3162986,-120.5116506,2408,842,1.0933,2203,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,47045,4484835.641,9931.165474
32,47,1101,6047001101,2436388,0,37.3252966,-120.4601195,6921,2215,0.9407,7357,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,82484,3859795.352,7860.689561
33,71,8402,6071008402,2582736,0,34.0628647,-117.147643,6009,2037,0.9972,6026,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,115377,3772823.844,7788.185429
34,71,8404,6071008404,1295176,0,34.0591972,-117.1651325,3503,1310,0.5001,7005,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,60078,1891813.121,5825.739894
35,71,8800,6071008800,3167796,0,34.033952,-117.0368248,6579,2258,1.2231,5379,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,95061,4624348.927,8674.785282
36,47,1200,6047001200,4246279,0,37.3136674,-120.4472741,5599,1850,1.6395,3415,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,73367,6725007.971,12694.31951
37,47,1301,6047001301,2572637,0,37.3071954,-120.4917746,3164,1228,0.9933,3185,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,34211,4073697.918,9502.744818
38,47,1302,6047001302,1624831,0,37.3040362,-120.4781907,2908,1105,0.6274,4635,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,41114,2572661.974,6817.259665
39,33,502,6033000502,6166827,19589864,39.120886,-122.8631148,2397,1133,2.381,1007,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,68688,42832262.12,34946.47183
40,47,1700,6047001700,3923326,0,37.2875185,-120.4452153,7117,2191,1.5148,4698,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,48527,6209249.945,11534.23128
41,47,1801,6047001801,18028647,18842,37.3433213,-120.4370181,5108,1121,6.9609,734,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,90341,28606999.21,26891.91728
42,47,2201,6047002201,5336457,0,37.0634742,-120.8585279,6797,2370,2.0604,3299,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,52478,8396226.589,14029.72915
43,73,19809,6073019809,2914452,0,33.175429,-117.2666505,4289,1649,1.1253,3811,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,132650,4171397.273,11684.5333
44,73,20029,6073020029,5459075,0,33.1392223,-117.1894649,6897,2547,2.1078,3272,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,71301,7807078.153,14766.03156
45,73,20309,6073020309,2835189,0,33.1355577,-117.108982,4428,1513,1.0947,4045,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,107313,4054296.201,8701.377887
46,73,21205,6073021205,9931513,1475,32.8257265,-116.7811392,7168,2628,3.8346,1869,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,96402,14107230.04,22520.5345
47,71,3506,6071003506,1633149,0,34.1293952,-117.3778763,5225,1381,0.6306,8286,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,79114,2389397.874,6846.075961
48,71,404,6071000404,2800022,0,34.0410698,-117.6905816,5200,1920,1.0811,4810,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,85833,4088148.455,8658.520207
49,37,300100,6037300100,4591342,18657,34.2442558,-118.2325716,6511,2207,1.7727,3673,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,166716,6762583.083,11523.54215
50,73,400,6073000400,1177454,0,32.7533382,-117.1630702,4079,2509,0.4546,8973,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,89565,1669388.994,5585.180978
51,73,500,6073000500,1108651,0,32.7605138,-117.1519499,2828,1572,0.4281,6606,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,101875,1572093.807,6140.54977
52,73,600,6073000600,932839,0,32.7529575,-117.1518411,3111,1879,0.3602,8637,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,99161,1322567.802,5924.234233
53,37,300501,6037300501,1260255,0,34.2206887,-118.2400494,2911,1010,0.4866,5982,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,106333,1847789.162,7553.875687
54,111,2700,6111002700,1764528,0,34.2706551,-119.2416995,4716,1782,0.6813,6922,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,94257,2590198.405,8743.989089
55,111,2800,6111002800,16122392,614287,34.2500715,-119.2467812,6734,2555,6.2249,1082,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,99393,24556263.13,23977.36117
56,111,3608,6111003608,978994,0,34.1938291,-119.201331,3584,1038,0.378,9481,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,97460,1434499.792,4925.089035
57,111,3700,6111003700,1040643,0,34.1819643,-119.1913008,6127,1085,0.4018,15249,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,97824,1524405.894,5601.287249
58,83,3102,6083003102,512387155,3070188,34.5571887,-120.3728585,2978,1084,197.8338,15,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,100357,761692617.6,166569.0843
59,83,1704,6083001704,6234259,212382,34.3885354,-119.4904925,3222,1266,2.4071,1339,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86345,9489767.211,16605.02228
60,83,980100,6083980100,506588576,272483560,33.9511837,-120.0489534,7,0,195.595,0,Data Not Available,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,0,1136417335,299532.5069
61,83,990000,6083990000,0,2405533154,33.907571,-119.9592834,0,0,0,0,Data Not Available,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,0,3525121555,1130037.763
62,73,3103,6073003103,2039646,0,32.7070141,-117.0441008,6462,1704,0.7875,8206,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,99919,2888829.835,7734.838595
63,73,3105,6073003105,1210504,0,32.710698,-117.0295699,4343,1221,0.4674,9292,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,108068,1714623.55,5682.162756
64,53,10202,6053010202,40331725,280374,36.8474336,-121.6842241,3893,1276,15.5722,250,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,80111,63536130.86,44266.8683
65,53,13000,6053013000,3185989,467762,36.5938492,-121.8844269,3862,2025,1.2301,3140,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,107944,5679170.959,13695.7274
66,37,310701,6037310701,515339,0,34.1853923,-118.312844,2429,1185,0.199,12206,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,25664,754961.9029,4394.750103
67,53,10603,6053010603,2001830,0,36.7063035,-121.6134029,7560,2106,0.7729,9781,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,130397,3120539.355,6861.932414
68,53,13300,6053013300,5611057,403212,36.5941325,-121.8548464,5829,2480,2.1664,2691,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,92949,9348318.812,14934.76918
69,53,13500,6053013500,1436816,0,36.603362,-121.8317468,4188,1781,0.5548,7549,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,91336,2233840.28,6078.065751
70,53,13700,6053013700,711788,0,36.6107804,-121.8411902,4679,1389,0.2748,17027,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,62951,1106843.641,4551.388669
71,53,13800,6053013800,1280672,0,36.6128974,-121.8292766,5187,1635,0.4945,10489,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,83229,1991570.057,5886.174561
72,53,101,6053000101,9908517,22318,36.7398419,-121.6216521,2427,672,3.8257,634,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,132891,15491968.11,17525.39549
73,53,103,6053000103,1025701,0,36.7132771,-121.6495278,4474,1384,0.396,11298,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,94079,1599194.473,5115.762706
74,83,302,6083000302,1021124,0,34.4309086,-119.7222979,4163,1932,0.3943,10558,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,96429,1504626.831,5100.248477
75,53,10604,6053010604,1200115,0,36.6969398,-121.604063,5788,1336,0.4634,12490,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,114295,1870344.525,5992.91598
76,53,10605,6053010605,1081872,0,36.6886971,-121.5991693,4467,1011,0.4177,10694,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,105972,1685705.456,5532.230033
77,53,10900,6053010900,3736271,15260,36.4743205,-121.3770688,6678,0,1.4426,4629,Data Not Available,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,0,5812941.098,11547.82374
78,53,13900,6053013900,1034645,0,36.6190341,-121.8296873,2295,885,0.3995,5745,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,83705,1609229.249,6507.353807
79,53,14000,6053014000,2638923,362509,36.6151532,-121.8487991,2487,787,1.0189,2441,Y,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,64688,4667808.627,10565.39989
80,39,104,6039000104,47637579,0,37.3198198,-119.6160776,3836,1515,18.393,209,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,86813,75457906.5,37566.86574
81,39,509,6039000509,82172059,0,36.9648983,-119.8457067,6389,1869,31.7268,201,N,U.S. Census Bureau,,2025/07/28 00:00:00+00,bpertl,2023,121376,128955113.9,45318.25382
